,Title,Published_date,views,likes,favoriteCount,Month
294,"Acer Predator Helios 300 With Nvidia RTX 3060  Deep learning Benchmarking, Get The Speed You Want😎🎉😎",2021-08-01,9003,187,0,Aug
295,12 days Plan To Learn Python For Data Analyst And Data Science,2021-07-31,116492,5580,0,Jul
296,Many Reasons Why I Like VS Code IDE- Data Science,2021-07-30,10432,269,0,Jul
297,Data Structures And Algorithms Playlist For You All- Ft- iNeuron,2021-07-29,13430,372,0,Jul
298,Is Data Privacy A Major Issue? Sharing A Recent Incident,2021-07-29,2707,144,0,Jul
299,How Did We Start iNeuron? Affordable Education Company,2021-07-28,13681,734,0,Jul
300,Coding In Movies Vs Reality Vs Coding Using Github Copilot-Savage Moments,2021-07-27,13254,946,0,Jul
301,Funny Behind The Scenes And Mistakes | Data Science Videos😂😂😂😂,2021-07-26,41790,1671,0,Jul
302,How Much Maths Do You Need To Know To Become A Data Scientist,2021-07-25,29567,1536,0,Jul
303,Are You Procrastinating To Learn Data Science?,2021-07-24,30330,1391,0,Jul
304,"Face Detection, Face Mesh, OpenPose, Holisitic, Hand Detection Using MediaPipe On Live Stream Video",2021-07-24,16510,476,0,Jul
305,Tracker Sheet To Learn Data Analyst Curriculum From My Playlist- Track Your Learning,2021-07-23,20055,985,0,Jul
306,Skills Required For A Data Analyst In 2021- How To Learn By Self Study And For Free in 3 Months,2021-07-22,56140,3020,0,Jul
307,My New Laptop Acer Predator Helios 300 Unboxing With Nvidia RTX 3060 For Deep Learning And Gaming,2021-07-22,10755,293,0,Jul
308,Non Programmer To Data Analyst Or Data Scientist?Which Is Best To Get In Analytics Industry Quickly,2021-07-19,27592,1071,0,Jul
309,"Preparing Data Science From My Playlist?- Use This Tracker To Track Your Learning For ML,DL,Stats",2021-07-18,34922,1734,0,Jul
310,Fake Jobs In Data Science- Be Careful And Report Them,2021-07-18,18095,683,0,Jul
311,Krish Naik 400k Special Video,2021-07-17,5370,523,0,Jul
312,Pros And Cons Working In Startup Vs Service Vs Product Based Companies As Data Scientist,2021-07-17,18957,682,0,Jul
313,Road To 400K Live Q&A- Ask Anything Related Data Science,2021-07-16,8952,531,0,Jul
314,Are You Learning Data Science In The Right Way?,2021-07-16,21011,720,0,Jul
315,"Announcing AWS Cloud Master And AIOPS , MLOPS Affordable Course From iNeuron",2021-07-15,5427,156,0,Jul
316,Can We Have A YouTube Channel With Full Time Job Like Data Science,2021-07-15,3263,156,0,Jul
317,How To Handle Career Gaps In Job Interviews?,2021-07-14,8769,503,0,Jul
318,Crab Mentality- Stay Away From These Kind Of People🦀🦀🦀🦀,2021-07-14,16983,1186,0,Jul
319,Is There Any Official Certification For Data Science,2021-07-13,33081,1148,0,Jul
320,What I Hate About Job Interviews?,2021-07-12,9298,530,0,Jul
321,Important SQL Interview Questions FOR DATASCIENCE & ANALYTICS- Part 2- Ft: @Satyajit Pattnaik,2021-07-12,24669,565,0,Jul
322,Data Scientist Opening In Tredence For Fresher And Experienced- Apply You Will Get Lucky,2021-07-11,15704,632,0,Jul
323,Making Money As A Data Scientist- How I Doubled My Income💲 💲 💲 💲,2021-07-11,22502,1070,0,Jul
324,"BlockChain,Cloud,Devops,Data Science, Big Data, Cybersecurity- Which Technology To Select?😰😰😰😰😰",2021-07-10,49875,2131,0,Jul
325,"Huge Openings Data Scientist, ML engineer, Data Analyst For Freshers In PAYPAL 2021-Start Applying",2021-07-09,22140,718,0,Jul
326,Now You Have AI Assisted SQL Query Generator- Don't Worry You Will Not Lose Jobs!,2021-07-09,15274,410,0,Jul
327,Companies To Apply For Data Analyst In 2021- How To Apply?,2021-07-08,19740,925,0,Jul
328,Make Money While Studying-Build Your Brand,2021-07-07,14592,867,0,Jul
329,Privacy Issues With Github Copilot😲😲😲😲,2021-07-07,4269,166,0,Jul
330,Minimum Laptop Configuration To Start With Machine Learning And Deep Learning💻💻💻💻💻💻,2021-07-06,39794,1306,0,Jul
331,Generate Python Faster with Mito⭐ ⭐ ⭐ ⭐,2021-07-06,5166,239,0,Jul
332,My View On Github Copilot- Will Developers Lose Their Jobs?Must Watch For Everyone,2021-07-05,15656,711,0,Jul
333,Companies To Apply For Data Scientist And ML And DL Roles in 2021- Dont Wait-Just Apply✌ ✌ ✌ ✌ ✌ ✌,2021-07-04,63993,2504,0,Jul
334,Average Salary Hike Of Data Scientist In 2021 From the Data I Collected From January,2021-07-03,21616,601,0,Jul
335,Github Copilot Vs Tabnine AI Code Completion Autocomplete Vs KITE- Which Is Your Favourite ?,2021-07-03,30870,521,0,Jul
336,Sharing Devavrat Experience Of Working In Nvidia As Intern ⭐⭐⭐⭐,2021-07-02,6177,197,0,Jul
337,Writing Machine Learning Pipelines And Deep Learning Code Using Github Copilot ⭐⭐⭐⭐⭐⭐,2021-07-02,26188,581,0,Jul
338,First Time Using Github Copilot- How To Do Coding Using 1 Finger😂😂😂😂😂,2021-07-01,61979,1694,0,Jul
339,Breakthrough Announcement- Github Copilot- Your AI Pair Programmer- Saviour For Developers🙌🙌🙌🙌🙌🙌🙌,2021-07-01,10879,489,0,Jul
340,Last Week Of Data Science Preparation Before Job Interviews- Maximize Your Chances,2021-06-30,14664,383,0,Jun
341,Follow This Statergy To Increase Your Salary Hike In Job Interviews- Learn This Art💲 💲 💲 💲 💲 💲,2021-06-30,14691,800,0,Jun
342,Interesting Interview Question On Performance Metrics,2021-06-29,5747,166,0,Jun
343,Tutorial 3-Creating My Simple Weekly Study Timetable Using Django Views And Urls,2021-06-29,6526,165,0,Jun
344,Mistakes I Made In College Which You Should Not Repeat,2021-06-28,9603,560,0,Jun
345,Sharing My Time Table And Efficient Strategy To Learn Machine Learning In Quick Time,2021-06-27,31679,1148,0,Jun
346,How Data Science Projects Are Implemented Using Agile Methodology🤔 🤔 🤔 🤔 🤔 🤔 🤔,2021-06-26,22421,550,0,Jun
347,Important SQL Interview Questions FOR DATASCIENCE & ANALYTICS- Ft: @Satyajit Pattnaik,2021-06-25,36931,1242,0,Jun
348,How A Support Engineer Applied ML Knowledge In His Domain And Cracked Data Science Job 👨‍🔬👨‍🔬👨‍🔬👨‍🔬,2021-06-24,6239,236,0,Jun
349,Day To Day Activities Of A Full Stack Data Scientist By Saurav From Nvidia And Interview Process,2021-06-23,15033,453,0,Jun
350,How A Manual Tester Applied Data Science Knowledge In Their Domain- Successful Transition Story,2021-06-23,8170,159,0,Jun
351,"AutoGluon + Nvidia Rapids-Advancing the State of the Art in AutoML,Now 10x Faster with NVIDIA RAPIDS",2021-06-23,3191,98,0,Jun
352,White Box Vs Black Box Models In Machine Learning- Data Science Interview Question,2021-06-21,10626,396,0,Jun
353,Developed Many End To End Data Science Projects But Unable To Explain In Interviews- General Q&A,2021-06-20,9971,345,0,Jun
354,Real Time Image Segmentation And Object Detection From Live Video Stream Using PixelLib,2021-06-20,10553,241,0,Jun
355,Image Segmentation And Object Detection Using 5 Lines Of Code Using PixelLib,2021-06-20,17102,338,0,Jun
356,Face Recognition Project In Flask Web Framework- Recognize Different Faces Easily,2021-06-19,23190,652,0,Jun
357,OpenCV Face And Eye Detection In Flask Web Framework,2021-06-19,14909,406,0,Jun
358,Tutorial 2-Creating And Running A Default Django Project In Local Server,2021-06-17,6617,138,0,Jun
359,"Common Doubts,Questions And Fear After Getting Data Science Job- Must For EveryOne😕😕😕😕",2021-06-16,14246,479,0,Jun
360,Introduction To Django Python Web Framework. When To Use Django OR When To Use Flask?,2021-06-15,11382,273,0,Jun
361,How to Make an Data Science Projects More Likely to Succeed? Sharing My Experience,2021-06-15,10039,144,0,Jun
362,The Importance Of Story Telling In Data Science Interviews,2021-06-15,10426,308,0,Jun
363,Video Streaming Using Webcam In Flask Web Framework,2021-06-14,26644,669,0,Jun
364,Why Data Science Project Fails? Sharing My 9+ Years Experience,2021-06-14,4835,219,0,Jun
365,Sunday Live Q&A- Ask Anything Related Data Science,2021-06-13,6463,415,0,Jun
366,Integrating CSS and Javascript in Flask Web Framework,2021-06-13,10319,264,0,Jun
367,Understanding Jinja2 Template Engine In Flask Web Framework,2021-06-12,11369,325,0,Jun
368,Integrating HTML With FLASK Web Framework With HTTP VERBS(Get And POST),2021-06-12,16227,411,0,Jun
369,How Do You Handle Multicollinearity In Machine Learning-Asked In Interview,2021-06-11,4869,125,0,Jun
370,Building Url Dynamically In Flask Web Framework,2021-06-11,16209,407,0,Jun
371,Best Practices For Becoming A Good Python Developer,2021-06-11,10290,422,0,Jun
372,When To Use Entropy Vs When To Use Gini Impurity In Decision Tree- Asked In Interviews,2021-06-11,8868,198,0,Jun
373,Understanding A Sample Flask Web Application Skeleton,2021-06-10,19950,492,0,Jun
374,Setting VSCode IDE To Learn Flask Web Framework For Machine Learning,2021-06-10,24105,569,0,Jun
375,Introduction To Flask Web Framework,2021-06-09,47105,1007,0,Jun
376,How Do I Prepare My Data Science Materials- Evolution From Writing Notes From Book To Ipad,2021-06-09,17995,274,0,Jun
377,Dynamic Pricing Machine Learning Usecase Discussion,2021-06-09,11622,246,0,Jun
378,Announcing iNeuron's 30 Days Fast Track Data Science Interview Preparation Live Classes,2021-06-08,6325,110,0,Jun
379,How To Handle Data Privacy In Data Science Projects- Solution- Asked In Interview,2021-06-08,5453,147,0,Jun
380,How To Handle Data Privacy In ML Projects?-Machine Learning Interview#8,2021-06-07,3623,164,0,Jun
381,Announcing ML Usecase Discussion Series- Dynamic Pricing-Part 1,2021-06-07,9374,181,0,Jun
382,Which Machine Learning Algorithm Will You Apply For A Usecase-Best Way To Answer In Interview?,2021-06-07,10030,300,0,Jun
383,Applied More Than 250+ Data Science Jobs But Still Not Getting Calls? What Is the Solution For This?,2021-06-06,18665,696,0,Jun
384,Announcing Our Second Startup- Firstfiling.in Legal And Tax Compliances,2021-06-05,9577,503,0,Jun
385,Success Story Of Ashesh- Getting Job As Data Scientist In US,2021-06-05,5377,175,0,Jun
386,Announcing iNeuron Big Data Masters Affordable Course,2021-06-04,11635,275,0,Jun
387,Machine Learning Interview Series With Solution #6-Asked In Interview ⭐ ⭐⭐⭐⭐⭐⭐⭐,2021-06-04,6894,230,0,Jun
388,Deep Learning Interview Series #7-Asked In Interview-Epochs Vs Batch Vs Iterations In Deep Learning,2021-06-04,8072,306,0,Jun
389,Machine Learning Interview Series #5-Asked In Interview ⭐ ⭐⭐⭐⭐⭐⭐⭐,2021-06-03,8079,203,0,Jun
390,Deep Learning Computer Vision Interview Series #4-Asked In Interview ⭐ ⭐⭐⭐⭐⭐⭐⭐,2021-06-02,8918,221,0,Jun
391,Tutorial 2-Linear Algebra For ML-How To Add 2 Vectors,2021-06-02,4909,172,0,Jun
392,Linear Algebra-What is Scalar and Vectors And Its Practical Applications In Machine Learning? ⭐⭐⭐⭐⭐⭐,2021-06-01,12128,312,0,Jun
393,Success Story Of Ameya- Transition To Devops In Vodafone  At GermanyFt:iNeuron,2021-06-01,2568,72,0,Jun
394,Explaining An End To End Machine Learning Project To A Interviewer,2021-05-31,29239,1074,0,May
395,Explaining An End To End Data Analyst/Business Analytics Projects,2021-05-30,59640,1732,0,May
396,Success Story Of Dhruv- Transition As Data Scientist In McKinsey & Company,2021-05-29,13010,371,0,May
397,Permutation And Combination Easily Explained,2021-05-28,11414,495,0,May
398,Success Story Of Rahul- Transition From Support To Data Analyst|ft: iNeuron,2021-05-28,11713,289,0,May
399,Custom Training Question Answer Model Using Transformer BERT,2021-05-27,24657,572,0,May
400,Success Story Of Purvansh- How He Got Into GSOC In The Field Of Machine Learning| Ft:iNeuron,2021-05-27,4163,167,0,May
401,Success Story Of Sarthak- Transition From Mechanical Engineer To Data Science- Ft:iNeuron,2021-05-26,5819,208,0,May
402,All Important Topics In Probability For Data Science In 1 Video,2021-05-25,33154,1129,0,May
403,Success Story Of Arun- Transition From Support To Data Science Ft: iNeuron,2021-05-25,5520,151,0,May
404,Monday Live Q&A Ask Anything Related Data Science,2021-05-24,6072,441,0,May
405,Generating Python By Editing Spreadsheet Using Mito,2021-05-24,4302,157,0,May
406,How To Perform Hypothesis Testing-Confidence Interval|Z Test Statistics| Derive Conclusion- Part 1,2021-05-23,28467,850,0,May
407,What Should Be A Proper Structure Of Your Data Science Projects In Github?,2021-05-23,10859,475,0,May
408,Training Machine Learning Algorithms In GPU Using Nvidia Rapids cuML Library,2021-05-22,4925,176,0,May
409,Deep Successful Career Transition From Mechanical Engineer & Teacher To Data Analyst|Ft:iNeuron,2021-05-22,11239,385,0,May
410,Himanshu Successful Career Transition From MCA Graduate Fresher To Data Science- Ft: iNeuron,2021-05-21,7751,255,0,May
411,Tutorial 2- Fine Tuning Pretrained Model On Custom Dataset Using 🤗 Transformer,2021-05-20,24768,528,0,May
412,Bitcoin Market Crash Analyzing As A Data Scientist Part 1-₿₿₿₿₿₿,2021-05-20,7620,377,0,May
413,Tutorial 1-Transformer And Bert Implementation With Huggingface,2021-05-18,56827,1419,0,May
414,"Introduction To Nvidia Rapids- cuDF,cuML Libraries- Run Anything In GPU⭐⭐⭐⭐⭐⭐",2021-05-18,7743,223,0,May
415,Tutorial 8- Pyspark Multiple Linear Regression Implementation In Databricks,2021-05-17,13163,234,0,May
416,Power Law Distribution And Its Examples And Application- Statistics Interview Question,2021-05-17,16877,374,0,May
417,Z Score And Its Applications- Important Stats Interview Question,2021-05-16,23620,781,0,May
418,Whether We Should Reduce False Positive Or Negative In Confusion Matrix-Machine Learning Interviews,2021-05-16,17979,522,0,May
419,3 Important Things To Focus On Data Science #shorts,2021-05-15,49990,2644,0,May
420,"Tools, Softwares And Tips For Virtual Live Interviews",2021-05-15,4796,199,0,May
421,DATA SCIENCE Is All About Continuous Learning #shorts,2021-05-14,20573,1020,0,May
422,Octoparse- Easy Web Scraping Tool Without Any Coding Knowledge,2021-05-14,40457,780,0,May
423,Focus In These Things In Data Science Interview #shorts,2021-05-13,16585,855,0,May
424,Most Important Skills In Data Science For Jobs #shorts,2021-05-13,36638,1950,0,May
425,How Sudhanshu And iNeuron Team Overcome COVID- Precaution To Be Taken-Stay Safe,2021-05-13,5671,237,0,May
426,Tutorial 7- Pyspark With Python|Introduction To Databricks,2021-05-12,31177,391,0,May
427,Tutorial 6- Pyspark With Python-Introduction To Pyspark Mlib,2021-05-11,12756,273,0,May
428,Different Type Of Sampling Techniques With Examples| Statistics Interview Question,2021-05-11,21208,676,0,May
429,Tutorial 5- Pyspark With Python-GroupBy And Aggregate Functions,2021-05-10,16118,273,0,May
430,How To Start Data Science From My Channel- Follow This Order Of Playlist,2021-05-10,14140,981,0,May
431,"1000+ VideosRegarding Data Science,ML,DL Uploaded In My Channel In 2.5 years🥳 🥳 🥳 🥳 🥳",2021-05-09,7380,398,0,May
432,5 Number Summary And How To handle Outliers Using IQR-Statistics,2021-05-09,17566,569,0,May
433,Stats Interview Series #3-Asked In Interview #shorts⭐ ⭐⭐⭐⭐⭐⭐⭐,2021-05-09,13070,304,0,May
434,Why Deep Learning Is Becoming So Popular?🔥🔥🔥🔥🔥🔥,2021-05-08,118876,1187,0,May
435,Atoti Library- Free Python BI Analytics Platform,2021-05-07,10532,415,0,May
436,50+ Successful Transition Stories To Data Science In 2 months- Ft Ineuron Team ✨🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥,2021-05-07,5969,311,0,May
437,Top 25 Machine Learning & AI Hackathons To Move To Data Science,2021-05-06,14215,576,0,May
438,Tutorial 4- Pyspark With Python-Pyspark DataFrames- Filter Operations,2021-05-06,15563,334,0,May
439,Tutorial 3- Pyspark With Python-Pyspark DataFrames- Handling Missing Values,2021-05-05,23033,452,0,May
440,Tutorial 2-Pyspark With Python-Pyspark DataFrames- Part 1,2021-05-04,37387,658,0,May
441,Tutorial 1-Pyspark With Python-Pyspark Introduction and Installation,2021-05-04,125012,1663,0,May
442,10 Tips To Learn Python Efficiently And Effectively,2021-05-03,22559,1165,0,May
443,Sunday Live Q&A Ask Anything Related Data Science,2021-05-02,7604,371,0,May
444,"Bernoulli distribution- Mean, Variance And Standard Deviation OF Bernoulli distribution",2021-05-02,23011,536,0,May
445,Introduction To Statistics And Its Types For Starters,2021-05-01,62027,1648,0,May
446,Review Discussion Of Data Scientist Resume- Tips For Preparing A Perfect Resume,2021-04-30,12013,376,0,Apr
447,DataPrep Library- Perform Faster EDA Within No Time,2021-04-30,13233,545,0,Apr
448,Complete Road Map Towards Data Science In 2021,2021-04-29,136656,4752,0,Apr
449,All Type Of Cross Validation With Python All In 1 Video,2021-04-28,24071,797,0,Apr
450,AutoScraper- Scrap Images From Amazon Ecommerce- End To End Web Scraping Application,2021-04-28,7406,243,0,Apr
451,Complete RoadMap Towards Data Analyst In 2021,2021-04-27,69038,2899,0,Apr
452,Drawdata-Python Library To Draw Dataset In Jupyter Notebook,2021-04-26,4783,224,0,Apr
453,Your GitHub story in 3D- View a 3D Model of your GitHub Contribution graph.,2021-04-26,4892,159,0,Apr
454,Sunday Live Q&A Ask Anything Related Data Science,2021-04-25,4486,358,0,Apr
455,Autoviz-Automatically Visualize Any Dataset With Single Line Of Code,2021-04-25,25139,924,0,Apr
456,Who Are Data Scientists?,2021-04-24,11401,438,0,Apr
457,AutoScraper and Flask: Create an API From Amazon Website in Less Than 10 Minutes,2021-04-24,7457,256,0,Apr
458,Automating WebScraping Amazon Ecommerce Website Using AutoScrapper,2021-04-23,60055,1301,0,Apr
459,Deep Learning Interview Series #2- Asked In interview,2021-04-23,6070,169,0,Apr
460,Automating Web Scrapping Using AutoScraper Library,2021-04-22,16938,625,0,Apr
461,Discussing All The Types Of Feature Transformation In Machine Learning,2021-04-21,35029,1046,0,Apr
462,All Automated EDA Libraries All At One Place,2021-04-20,15495,600,0,Apr
463,Machine Learning Interview Series#1-Asked in Interview,2021-04-20,11716,244,0,Apr
464,Deployment Of ML Models Using PyWebIO And Flask In Heroku,2021-04-19,6133,197,0,Apr
465,Numba Library- Let's Make Python Faster,2021-04-19,8449,271,0,Apr
466,Text Generation with Transformers (GPT-2) In 10 Lines Of Code,2021-04-18,14436,410,0,Apr
467,Introduction To Machine Learning And Deep Learning For Starters,2021-04-18,51098,1057,0,Apr
468,TFOD 2.0 Custom Object Detection Step By Step Tutorial,2021-04-17,91481,1861,0,Apr
469,Deep Learning Interview Series #1- Asked In Interview,2021-04-17,8122,191,0,Apr
470,Friday Live Q&A Ask Anything Related Data Science,2021-04-16,4111,233,0,Apr
471,Comparing Transfer Learning Models Using Gradio,2021-04-16,3865,132,0,Apr
472,Gradio Library-Interfaces for your Machine Learning Models,2021-04-15,13158,442,0,Apr
473,How To Automate NLP Tasks Using EvalML Library,2021-04-15,6066,234,0,Apr
474,Lazy Predict Python- Understanding Which Models Works Well Without Any Tuning,2021-04-14,7724,358,0,Apr
475,"EvalML AutoML Library To Automate Feature Engineering, Feature Selection,Model Creation And Tuning",2021-04-14,12509,471,0,Apr
476,Joining Bonus- Whether We should Take Joining Bonus? General Q&A,2021-04-14,22124,479,0,Apr
477,Confidence Intervals In Statistics- Part 1,2021-04-13,60948,1261,0,Apr
478,Best Freelancing Work- Earn By Answering Questions,2021-04-13,12208,499,0,Apr
479,"Difference Between fit(), transform(), fit_transform() and predict() methods in Scikit-Learn",2021-04-12,40338,1743,0,Apr
480,What Is Probation Period?General Q&A,2021-04-11,29836,704,0,Apr
481,The Art Of Writing Resume For Data Science- Must For EveryOne,2021-04-10,15841,550,0,Apr
482,Amazing Initiative For Kids- Ineuron K-12 Youtube Channel- Free Content #shorts,2021-04-09,7783,213,0,Apr
483,How To Handle 90 Days Notice Period With HR,2021-04-09,115470,3614,0,Apr
484,Stats Interview Series #2-Asked In Interview,2021-04-09,19383,437,0,Apr
485,"Statistics-Left Skewed And Right Skewed Distribution And Relation With Mean, Median And Mode",2021-04-08,52593,1497,0,Apr
486,Stats Interview Series #1- Asked In Interview,2021-04-08,24160,579,0,Apr
487,Interview Question -Risks In Data Science Projects,2021-04-07,5742,140,0,Apr
488,Shapash- Python Library To Make Machine Learning Interpretable,2021-04-06,15707,560,0,Apr
489,Interesting Fact About Data #shorts,2021-04-06,12316,496,0,Apr
490,Deployment Of ML Models Using PyWebIO And Flask,2021-04-05,9715,280,0,Apr
491,What Is P Value In Statistics In Simple Language?,2021-04-05,118873,2777,0,Apr
492,Creating BMI Calculator Web APP Using Python And PyWebIO,2021-04-04,8293,311,0,Apr
493,You Don't Require A Master's Or Phd To Become Citizen Data Scientist #shorts,2021-04-04,14271,529,0,Apr
494,PyWebIO- Creating WebAPP Using Python Without Using HTML And JS,2021-04-03,15344,656,0,Apr
495,#shorts Believe You Can You Are Halfway Done-Motivation,2021-04-03,8877,472,0,Apr
496,Part 4-Testing ANN Model-Audio Classification Project Using Deep Learning,2021-04-02,13692,267,0,Apr
497,#shorts Three Most Important Points To Remember To Grow You In Your Life,2021-04-01,12566,740,0,Apr
498,Part 3-Model Creation-Audio Classification Project Using Deep Learning,2021-04-01,16286,295,0,Apr
499,Part 2-Data Preprocessing-Audio Classification Project Using Deep Learning,2021-03-31,27012,501,0,Mar
500,Part 1-EDA-Audio Classification Project Using Deep Learning,2021-03-31,63639,1458,0,Mar
501,March 30th- Live Virtual Mock Interview From Mechanical To Data Scientist,2021-03-30,12263,269,0,Mar
502,March 29- Live Virtual Mock Interview For Fresher For Data Science Role-iNeuron Student,2021-03-29,14416,522,0,Mar
503,Follow These Playlist Before Interviews- Guide to Crack Data Science Interviews,2021-03-28,12676,452,0,Mar
504,Rainfall Prediction- Converting A Kaggle Project to End To End Machine Learning Project,2021-03-27,33641,994,0,Mar
505,Friday Live Q&A Ask Anything RelatedData Science,2021-03-26,4639,226,0,Mar
506,"Colab Pro Now Available In India, Brazil, France, Thailand,Japan,UK- BOON FOR Data Science Aspirants",2021-03-26,12550,339,0,Mar
507,Successful Career Transition Story From Fresher College Student To Data Science-Sameer Singh,2021-03-26,9509,258,0,Mar
508,Amazing Initiative For School Kids By iNeuron,2021-03-25,3394,143,0,Mar
509,"Texthero-Text Preprocessing, Representation And Visualization From Zero to Hero.",2021-03-25,8112,338,0,Mar
510,1 Day Off From Work After 2 months- Start Up Stories#shorts,2021-03-24,58634,2016,0,Mar
511,Lux - Python Library for Intelligent Visual Discovery,2021-03-23,14201,546,0,Mar
512,Devops Vs MLOPS- Understand The Differences And Why IT is Important,2021-03-21,39541,924,0,Mar
513,Day 4- MLOPS Continuous Integration And Model Tracking Using MLFlow- Machine Learning,2021-03-19,10739,232,0,Mar
514,Day 3- MLOPS End To End Implementation With Deployment- Machine Learning,2021-03-18,12729,265,0,Mar
515,Day 2- MLOPS End To End Implementation From Basics- Machine Learning,2021-03-17,17996,442,0,Mar
516,Day 1- MLOPS End To End Implementation- Machine Learning,2021-03-16,40934,704,0,Mar
517,14+ ML And DL End To End Projects From My Channel,2021-03-15,19526,872,0,Mar
518,How To Revise Data Science  Concepts And Algorithms Efficiently Before Interviews-Most Important🔥🔥🔥🔥,2021-03-14,16529,662,0,Mar
519,What is the Interviewer Looking For In A Data Science Interview?,2021-03-13,13717,615,0,Mar
520,MLOps Live Community Session Announcement,2021-03-12,12042,338,0,Mar
521,Waste Classification Machine Learning Classification Project-Waste Recycling,2021-03-11,10790,286,0,Mar
522,SVM Kernal- Polynomial And RBF Implementation Using Sklearn- Machine Learning,2021-03-10,29919,812,0,Mar
523,SVM Kernels In-depth Intuition- Polynomial Kernels Part 3 | Machine Learning Data Science,2021-03-10,47803,1255,0,Mar
524,Live AWS For Data Science - Deploying Machine Learning Application In EC2 Instance,2021-03-04,27370,1019,0,Mar
525,Amazing Data Science End To End Project From Starters In ML and Deep Learning- Agriculture Domain,2021-03-03,37036,1193,0,Mar
526,Face Recognition Attendance Based Project In Machine Learning,2021-03-02,111051,2539,0,Mar
527,Monday Night Live Q&A - Ask Anything Related  To Data Science,2021-03-01,6678,212,0,Mar
528,Step 6- TensorFlow 2 Detection Model Zoo- Object Detection,2021-03-01,9694,143,0,Mar
529,Introduction To MLflow-An Open Source Platform for the Machine Learning Lifecycle,2021-03-01,43337,914,0,Mar
530,Arpit Gupta's Successful Career Transition To Data Science After Many Rejection-Finally 4 Job Offers,2021-02-27,8727,161,0,Feb
531,"Affordable Business Analytics Master,DSA And Competitive Programming And Mern Stack- Join The Demo",2021-02-27,2881,95,0,Feb
532,"Secure Hash Algorithms Using Python- SHA256,SHA384,SHA224,SHA512,SHA1- Hashing In BlockChain",2021-02-26,7332,168,0,Feb
533,"Day 2-9 Hours Live Community Session- Power BI Usecases And Interview Prep, Competitive Programming",2021-02-26,9237,260,0,Feb
534,"9 Hours Live Community Session- Interview Questions On Sql, Power BI End to End Project,Mern Stack",2021-02-25,24713,703,0,Feb
535,"Live Community Session On 25th And 26th Feb From 1pm- Projects on Power BI, Tableau, Mern Stack",2021-02-25,5327,177,0,Feb
536,A Brief Intro About My Channel If You Are New- Data Science #shorts,2021-02-25,19481,646,0,Feb
537,Successful Transition From Mechanical Engineering To Data Science In Ireland Dublin- Ft:iNeuron,2021-02-24,22947,397,0,Feb
538,Logging Implementation In Python,2021-02-23,18908,368,0,Feb
539,Live Discussion- Transition From Web Developer To Data Scientist In Sweden- Ft: Ineuron,2021-02-23,7992,230,0,Feb
540,Inderpreet Successful Career Transition From A Freshers To Data Science With 5 Job Offers,2021-02-20,11800,272,0,Feb
541,PIP Freeze- Creating Packages(Requirements.txt) For The Application,2021-02-19,15832,253,0,Feb
542,Sumit Successful Career Transition From BCA To Data Science- Ft: Ineuron,2021-02-18,4846,118,0,Feb
543,Successful Transition Story From Non Tech To Data Science Director With 20+ Year Experience In UK,2021-02-18,6621,212,0,Feb
544,Successful Career Transition Of Kartik From Civil Engineering To Data Science With Career Gap,2021-02-18,20886,375,0,Feb
545,PerceptiLabs-The Best Machine Learning Visual Modeling Tool-Train Deep Learning Neural Network,2021-02-18,21373,634,0,Feb
546,Session On Different Types Of Loss Function In Deep Learning,2021-02-16,41096,794,0,Feb
547,Sunday Late Night Live Q&A - Ask Anything Related  To Data Science,2021-02-14,7323,240,0,Feb
548,Pdf Password Protection Using Python,2021-02-13,6913,296,0,Feb
549,10+ year experience Raghu Who Made Transition Into Data Science As A Director- Ft: Ineuron,2021-02-12,12127,211,0,Feb
550,Feb12- Live Virtual Mock Interview To Real Interview For Data Scientist- Hired By iNeuron-Commerce,2021-02-12,149504,5029,0,Feb
551,"Recent Jobs On Data Science,Data Analyst And Data Engineers In Google- Apply For It",2021-02-12,10090,239,0,Feb
552,Step 5-Final TFOD Set Up With Tensorflow 2.0 In Windows- COCO API installation Object Detection API,2021-02-11,12188,152,0,Feb
553,"Upcoming Community Sessions Announcements For Everyone- Data Science, Machine Learning,Feat: Ineuron",2021-02-10,5467,389,0,Feb
554,Live 15 hour Session In Implementing End To End Data Science Projects- Community Event,2021-02-09,112869,3041,0,Feb
555,15 hours Live Session On Data Science Projects- Community Event- Feat Ineuron Sudhanshu And Team,2021-02-08,14846,992,0,Feb
556,Feb 8- Live Virtual Mock Interview For Data Science Role,2021-02-08,15067,375,0,Feb
557,Step 3-TFOD Set Up With Tensorflow 2.0 In Windows-Installing Tensorflow Object Detection API,2021-02-07,8868,160,0,Feb
558,Step 4-TFOD Set Up With Tensorflow 2.0 In Windows-Protobuf  Installation And Compilation,2021-02-07,9337,156,0,Feb
559,Python Zip Function- Easy Parallel Iteration for Multiple Iterators,2021-02-07,4443,126,0,Feb
560,Placement Seasons-Its Ok If You Are Not From Tier 1 College-Strategy To Prepare For Placements,2021-02-07,3744,221,0,Feb
561,Step 2-TFOD Set Up With Tensorflow 2.0 In Windows-Installing Cuda Toolkit And CuDnn,2021-02-06,13084,187,0,Feb
562,Step 1-Tensorflow Object Detection Set Up With Tensorflow 2.0 In Windows-Creating The Environment,2021-02-06,30143,467,0,Feb
